learning_rate,exploration_fraction,nn_layers,mean_reward,mean_ep_length,timesteps
0.001,0.5,"[128, 128]",-64.40782558530806,328.4834123222749,100000
0.001,0.5,"[64, 64, 64]",-9.454562248945148,274.8607594936709,100000
0.001,0.5,"[64, 64]",-63.165428626190476,331.83809523809526,100000
0.001,0.3,"[128, 128]",-1.8058642648809544,382.13392857142856,100000
0.001,0.3,"[64, 64, 64]",-20.223922241935483,436.0258064516129,100000
0.001,0.3,"[64, 64]",35.55820418373494,400.43975903614455,100000
